Stock_A,Stock_B,Stock_C,Stock_D
0.010934283060224655,-0.0017652860234236931,0.013953770762013849,0.03146059712816051
-0.0036830674944667192,-0.003682739138983611,0.03258425631014783,0.016348694583058175
-0.008389487718699042,0.011851200871719293,-0.008268353856249244,-0.008314595071405136
0.005839245431320682,-0.03726560489315596,-0.03349835665026066,-0.010245750584819455
-0.019256622406688476,0.007284946651905478,-0.01716048151042422,-0.02724607402670583
0.030312975378431084,-0.0035155260097307134,0.002350564093758477,-0.027494963724269135
-0.009887654490503654,0.003218451794197322,-0.022019871548446056,0.008513960366913438
-0.011012773798376101,-0.004833874995865536,-0.011034132244587939,0.03804556369017876
0.0007300555052413216,-0.020154218579118005,0.01745089824206378,-0.023416872999420444
0.0051772719000951085,-0.03819340247759551,-0.02556372097796861,0.004937224717382471
0.015769331599908207,0.0044273656237994105,-0.0013129656477648107,-0.0050220739117857755
-0.02857043980734855,-0.013396884167894172,-0.00821277541919575,0.022142444524378316
0.007872365791369228,-0.03426080310725468,0.0074816793878959,-0.006701645608326331
-0.012538440006119176,0.013233525776817356,0.02161999044991902,0.019625602382323973
-0.01578435046445277,-0.005184247517024292,0.007625268628071279,0.020510902542447185
-0.0085834847569058,-0.0027131795332763424,-0.021126699480120564,-0.022924132481613416
0.017250516447883963,0.02812480057141646,-0.00044020243160667705,0.021070657957840484
0.008232720500952683,-0.011902395092102485,0.008227912110168278,0.031760731329319385
0.0002834792178009692,0.032292873116280124,-0.05139490208179489,0.01743805008750448
0.0027409413647634245,-0.00498014700931735,0.002835215530710046,-0.03875137829201786
-0.003393437756750239,0.008142251430234927,0.030557880894830323,-0.009365404365472948
-0.015169872057863753,-0.00903514087169073,0.019308042354041485,0.007575022193193689
-0.009595204075340775,0.011265348662267121,0.0029415509869608076,0.020372899810657787
-0.013041061877547049,-0.005553242931955364,-0.006842163062643152,-0.02827029896264237
0.0069224055412915216,0.006221105443597786,0.0011022691328492179,-0.003691742667502939
-0.027307414841008286,-0.00741290645530718,-0.00585429033053539,-0.015045545384432379
-0.002225714233320183,0.009081017136290767,0.0387237180242106,0.004491556256636779
0.006151007814455287,-0.0004889183153233443,-0.03737542430598083,0.0004697224910156625
0.002204604198820529,0.050264842249705725,-0.0028472192956224504,0.007030946846672249
0.0003057646058951338,-0.02237356075239064,0.023856456290300414,0.016038660653735482
0.01682063894086094,-0.017187749095894777,0.029055886218721984,-0.027037021255845617
0.012737141876005408,0.044809112516199574,-0.018810726502613766,-0.010325954592055438
0.0029930273017528247,-0.009069513082323986,-0.030013268621322652,0.0023712594961205467
-0.0202460742745221,0.010471848612703633,-0.01738848468467606,0.03199868810035079
-0.01466506584672474,-0.005441230324113512,0.017270344347393395,-0.023617286328679103
0.005549198692082588,0.027142855085648565,-0.03114966469122455,0.004692677170646084
0.006197655884968471,0.016636457435546207,-0.023739014217561638,-0.025409132261685525
0.011438831312337954,0.006939693464663721,0.006009857006917531,0.007928964189939514
-0.012600494431569815,0.005645073943220071,0.0068614494659736255,-0.013287028360527357
0.038315490222895134,0.010476658418235751,-0.022826069944052972,0.014131072172676593
